Name,Indexed Name,Current Affiliation,Document count,Citations Count,Subject of Interest,Keywords
DavidVerstraeten,Verstraeten D.,"Universiteit Gent, Computer Systems Lab",40,1049,"['Electronic, Optical and Magnetic Materials', 'Control and Systems Engineering', 'Language and Linguistics', 'Statistics and Probability', 'Computational Theory and Mathematics', 'Atomic and Molecular Physics, and Optics', 'Computer Networks and Communications', 'Information Systems', 'Physics and Astronomy (all)', 'Multidisciplinary', 'Neurology', 'Agricultural and Biological Sciences (all)', 'Signal Processing', 'Computer Science Applications', 'Transportation', 'Biochemistry, Genetics and Molecular Biology (all)', 'Cognitive Neuroscience', 'Neurology (clinical)', 'Computer Graphics and Computer-Aided Design', 'Neuroscience (all)', 'Medicine (miscellaneous)', 'Electrical and Electronic Engineering', 'Artificial Intelligence', 'Applied Mathematics', 'Chemistry (all)', 'Theoretical Computer Science', 'Modeling and Simulation', 'Computer Science (all)', 'Cellular and Molecular Neuroscience', 'Human-Computer Interaction', 'Condensed Matter Physics', 'Mechanical Engineering', 'Software', 'Medicine (all)', 'Civil and Structural Engineering']","['Chaos', 'Lyapunov exponent', 'Memory capability', 'Reservoir computing', 'Extreme learning machine', 'Non-linearity', 'Reservoir computing', 'Reservoir with random static projections', 'Short-term memory', 'Time-series data', 'Extreme learning machine', 'Non-linearity', 'Reservoir computing', 'Reservoir with random static projections', 'Short-term memory', 'Time-series data', 'Classification', 'Dialysis', 'Echo state network', 'Feature extraction and selection', 'Time series', 'Classification', 'Dialysis', 'Echo state network', 'Feature extraction and selection', 'Time series', 'energy-based models', 'machine learning', 'missing values', 'neural networks', 'optimization', 'time series']"
BenjaminSchrauwen,Schrauwen B.,"Universiteit Gent, Department of Electronics and Information Systems",120,2431,"['Computer Science (all)', 'Medicine (miscellaneous)', 'Human-Computer Interaction', 'Neuroscience (all)', 'Biomedical Engineering', 'Computer Graphics and Computer-Aided Design', 'Cognitive Neuroscience', 'Neurology (clinical)', 'Information Systems', 'Condensed Matter Physics', 'Atomic and Molecular Physics, and Optics', 'Multidisciplinary', 'Physics and Astronomy (all)', 'Theoretical Computer Science', 'Computer Vision and Pattern Recognition', 'Modeling and Simulation', 'Cellular and Molecular Neuroscience', 'Computer Networks and Communications', 'Statistical and Nonlinear Physics', 'Applied Mathematics', 'Biophysics', 'Music', 'Bioengineering', 'Computational Theory and Mathematics', 'Statistics and Probability', 'Artificial Intelligence', 'Arts and Humanities (miscellaneous)', 'Neuroscience (miscellaneous)', 'Civil and Structural Engineering', 'Electrical and Electronic Engineering', 'Signal Processing', 'Hardware and Architecture', 'Biomaterials', 'Language and Linguistics', 'Engineering (all)', 'Computer Science Applications', 'Medicine (all)', 'Biochemistry, Genetics and Molecular Biology (all)', 'Computational Mathematics', 'Control and Systems Engineering', 'Chemistry (all)', 'Computer Science (miscellaneous)', 'Biochemistry', 'Neurology', 'Biotechnology', 'Agricultural and Biological Sciences (all)', 'Software', 'Electronic, Optical and Magnetic Materials']","['Chaos', 'Lyapunov exponent', 'Memory capability', 'Reservoir computing', 'Extreme learning machine', 'Non-linearity', 'Reservoir computing', 'Reservoir with random static projections', 'Short-term memory', 'Time-series data', 'Extreme learning machine', 'Non-linearity', 'Reservoir computing', 'Reservoir with random static projections', 'Short-term memory', 'Time-series data', 'Classification', 'Dialysis', 'Echo state network', 'Feature extraction and selection', 'Time series', 'Classification', 'Dialysis', 'Echo state network', 'Feature extraction and selection', 'Time series', 'energy-based models', 'machine learning', 'missing values', 'neural networks', 'optimization', 'time series']"
MichielD'Haene,D'Haene M.,"Universiteit Gent, Department of Electronics and Information Systems",11,476,"['Computer Science (all)', 'Neuroscience (all)', 'Software', 'Theoretical Computer Science', 'Biomedical Engineering', 'Cognitive Neuroscience', 'Biochemistry, Genetics and Molecular Biology (all)', 'Arts and Humanities (miscellaneous)', 'Artificial Intelligence', 'Computer Science Applications']","['Chaos', 'Lyapunov exponent', 'Memory capability', 'Reservoir computing', 'Extreme learning machine', 'Non-linearity', 'Reservoir computing', 'Reservoir with random static projections', 'Short-term memory', 'Time-series data', 'Extreme learning machine', 'Non-linearity', 'Reservoir computing', 'Reservoir with random static projections', 'Short-term memory', 'Time-series data', 'Classification', 'Dialysis', 'Echo state network', 'Feature extraction and selection', 'Time series', 'Classification', 'Dialysis', 'Echo state network', 'Feature extraction and selection', 'Time series', 'energy-based models', 'machine learning', 'missing values', 'neural networks', 'optimization', 'time series']"
DirkStroobandt,Stroobandt D.,"Universiteit Gent, Department of Electronics and Information Systems",192,1514,"['Electrical and Electronic Engineering', 'Condensed Matter Physics', 'Human-Computer Interaction', 'Computer Networks and Communications', 'Medicine (miscellaneous)', 'Neuroscience (all)', 'Management of Technology and Innovation', 'Cognitive Neuroscience', 'Neurology (clinical)', 'Computer Science (miscellaneous)', 'Media Technology', 'Control and Systems Engineering', 'Signal Processing', 'Mathematics (all)', 'Engineering (all)', 'Computer Science (all)', 'Computer Graphics and Computer-Aided Design', 'Neurology', 'Artificial Intelligence', 'Software', 'Instrumentation', 'Electronic, Optical and Magnetic Materials', 'Biochemistry, Genetics and Molecular Biology (all)', 'Language and Linguistics', 'Statistics and Probability', 'Information Systems and Management', 'Hardware and Architecture', 'Modeling and Simulation', 'Theoretical Computer Science', 'Computer Vision and Pattern Recognition', 'Cellular and Molecular Neuroscience', 'Safety, Risk, Reliability and Quality', 'Control and Optimization', 'Information Systems', 'Applied Mathematics', 'Atomic and Molecular Physics, and Optics', 'Computer Science Applications', 'Computational Theory and Mathematics']","['Chaos', 'Lyapunov exponent', 'Memory capability', 'Reservoir computing', 'Extreme learning machine', 'Non-linearity', 'Reservoir computing', 'Reservoir with random static projections', 'Short-term memory', 'Time-series data', 'Extreme learning machine', 'Non-linearity', 'Reservoir computing', 'Reservoir with random static projections', 'Short-term memory', 'Time-series data', 'Classification', 'Dialysis', 'Echo state network', 'Feature extraction and selection', 'Time series', 'Classification', 'Dialysis', 'Echo state network', 'Feature extraction and selection', 'Time series', 'energy-based models', 'machine learning', 'missing values', 'neural networks', 'optimization', 'time series']"
Francisco JavierOrdóñez,Ordóñez F.,University of Sussex,10,358,"['Engineering (all)', 'Theoretical Computer Science', 'Environmental Science (all)', 'Management Science and Operations Research', 'Atomic and Molecular Physics, and Optics', 'Electrical and Electronic Engineering', 'Computer Networks and Communications', 'Biochemistry', 'Agricultural and Biological Sciences (all)', 'Information Systems', 'Computer Science (all)', 'Computer Science Applications', 'Software', 'Analytical Chemistry', 'Hardware and Architecture', 'Computational Theory and Mathematics', 'Artificial Intelligence', 'Human-Computer Interaction']","['Deep learning', 'Human activity recognition', 'LSTM', 'Machine learning', 'Neural network', 'Sensor fusion', 'Wearable sensors']"
DanielRoggen,Roggen D.,"University of Sussex, Wearable Technologies Lab Sensor Technology Research Centre",136,2295,"['Human-Computer Interaction', 'Materials Science (all)', 'Theoretical Computer Science', 'Analytical Chemistry', 'Biotechnology', 'Electrical and Electronic Engineering', 'Computer Networks and Communications', 'Signal Processing', 'Medicine (all)', 'Modeling and Simulation', 'Transportation', 'Health Information Management', 'Biochemistry, Genetics and Molecular Biology (all)', 'Computational Mechanics', 'Health Informatics', 'Computational Theory and Mathematics', 'Communication', 'Physics and Astronomy (all)', 'Computer Science Applications', 'Applied Mathematics', 'Software', 'Atomic and Molecular Physics, and Optics', 'Safety, Risk, Reliability and Quality', 'Bioengineering', 'Hardware and Architecture', 'Computer Vision and Pattern Recognition', 'Information Systems', 'Biomedical Engineering', 'Neurology (clinical)', 'Nursing (all)', 'Statistics and Probability', 'Computer Science (all)', 'Management Science and Operations Research', 'Engineering (all)', 'Computer Graphics and Computer-Aided Design', 'Neurology', 'Biochemistry', 'Advanced and Specialized Nursing', 'Control and Systems Engineering', 'Computational Mathematics', 'Artificial Intelligence']","['Deep learning', 'Human activity recognition', 'LSTM', 'Machine learning', 'Neural network', 'Sensor fusion', 'Wearable sensors']"
KlausGreff,Greff K.,Istituto Dalle Molle Di Studi Sull'intelligenza Artificiale,8,518,"['Signal Processing', 'Computer Vision and Pattern Recognition', 'Computer Graphics and Computer-Aided Design', 'Software', 'Artificial Intelligence', 'Information Systems', 'Computer Science Applications', 'Computer Networks and Communications']","['Functional ANalysis Of VAriance (fANOVA)', 'long short-term memory (LSTM)', 'random search', 'recurrent neural networks', 'sequence learning', 'Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Context-free languages (CFLs)', 'Context-sensitive languages (CSLs)', 'Long short-term memory (LSTM)', 'Recurrent neural networks (RNNs)', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning']"
Rupesh KumarSrivastava,Srivastava R.,NNAISENSE,14,535,"['Computer Science Applications', 'Industrial and Manufacturing Engineering', 'Control and Optimization', 'Computer Vision and Pattern Recognition', 'Computer Science (all)', 'Signal Processing', 'Cognitive Neuroscience', 'Software', 'Mechanical Engineering', 'Human-Computer Interaction', 'Management Science and Operations Research', 'Artificial Intelligence', 'Computer Graphics and Computer-Aided Design', 'Mechanics of Materials', 'Computational Theory and Mathematics', 'Theoretical Computer Science', 'Information Systems', 'Computer Networks and Communications', 'Applied Mathematics']","['Functional ANalysis Of VAriance (fANOVA)', 'long short-term memory (LSTM)', 'random search', 'recurrent neural networks', 'sequence learning', 'Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Context-free languages (CFLs)', 'Context-sensitive languages (CSLs)', 'Long short-term memory (LSTM)', 'Recurrent neural networks (RNNs)', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning']"
JanKoutník,Koutník J.,Istituto Dalle Molle Di Studi Sull'intelligenza Artificiale,26,507,"['Signal Processing', 'Computer Vision and Pattern Recognition', 'Electrical and Electronic Engineering', 'Applied Mathematics', 'Computer Networks and Communications', 'Computational Mathematics', 'Theoretical Computer Science', 'Computer Science Applications', 'Artificial Intelligence', 'Genetics', 'Computational Theory and Mathematics', 'Computer Graphics and Computer-Aided Design', 'Cognitive Neuroscience', 'Computer Science (all)', 'Mathematics (miscellaneous)', 'Software', 'Human-Computer Interaction']","['Functional ANalysis Of VAriance (fANOVA)', 'long short-term memory (LSTM)', 'random search', 'recurrent neural networks', 'sequence learning', 'Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Context-free languages (CFLs)', 'Context-sensitive languages (CSLs)', 'Long short-term memory (LSTM)', 'Recurrent neural networks (RNNs)', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning']"
Bas R.Steunebrink,Steunebrink B.,Istituto Dalle Molle Di Studi Sull'intelligenza Artificiale,25,369,"['Software', 'Modeling and Simulation', 'Theoretical Computer Science', 'Philosophy', 'Social Sciences (all)', 'Computer Vision and Pattern Recognition', 'Computer Science (all)', 'Human-Computer Interaction', 'Cognitive Neuroscience', 'Artificial Intelligence', 'Control and Systems Engineering', 'Computer Networks and Communications', 'Computer Science Applications']","['Functional ANalysis Of VAriance (fANOVA)', 'long short-term memory (LSTM)', 'random search', 'recurrent neural networks', 'sequence learning', 'Neural networks', 'Optimization', 'Python', 'Reinforcement learning', 'Context-free languages (CFLs)', 'Context-sensitive languages (CSLs)', 'Long short-term memory (LSTM)', 'Recurrent neural networks (RNNs)', 'Artificial evolution', 'Automated knot tying', 'Minimally invasive surgery', 'Recurrent neural networks', 'Supervised learning']"
